dia_compra;mes_compra;a�o;dia_semana;nro_ticket;filial_id;suma_total;cantidad_productos;nota;el_tiempo_de_la_atencion_fue_agil_y_rapido;atencion_amable;el_local_se_encontraba__limpio_y_ordenado;pto_contacto;nivel_2;dia_respuesta;genero;rango_edad;region;segmento_actividad;medio_de_pago;vend_id;Random
09-09-2020;9;2020;Miercoles;ab1d3073;477;2319;1;9;10;10;10;Local 477;Locales;10-09-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Debito;16311;48921
20-09-2020;9;2020;Domingo;ab1d3074;570;20898;2;10;10;10;10;Local 570;Locales;21-09-2020;Femenino;De 26 a 35 años;VIII Biobío;Activo;Excedente;16900;48923
01-09-2020;9;2020;Martes;ab1d3075;469;9465;2;10;10;10;10;Local 469;Locales;07-09-2020;Femenino;De 36 a 45 años;V Valparaíso;Activo;Debito;8393;48928
20-09-2020;9;2020;Domingo;ab1d3076;169;39861;5;8;5;10;10;Local 169;Locales;28-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Credito;18750;48981
03-09-2020;9;2020;jueves;ab1d3077;199;38149;3;6;0;8;5;Local 199;Locales;04-09-2020;Femenino;De 60 años y más;Región Metropolitana;Activo;Credito;16890;48986
22-09-2020;9;2020;Martes;ab1d3078;54;1040955;3;10;10;10;10;Local 54;Locales;28-09-2020;Masculino;De 36 a 45 años;Región Metropolitana;Activo;Efectivo;887;49014
07-09-2020;9;2020;Lunes;ab1d3079;565;32188;3;9;;;;Compra Onl;Compra Online Despac;20-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Semi Activo;Debito;1;49057
01-09-2020;9;2020;Martes;ab1d3080;430;6450;2;10;10;10;10;Local 430;Locales;07-09-2020;Femenino;De 46 a 60 años;VIII Biobío;Activo;Efectivo;5777;49057
03-09-2020;9;2020;jueves;ab1d3081;311;34305;4;10;5;10;10;Local 311;Locales;04-09-2020;Masculino;De 46 a 60 años;VII Maule;Activo;Credito;7005;49151
11-09-2020;9;2020;Viernes;ab1d3082;335;31089;2;10;10;10;10;Local 335;Locales;12-09-2020;Masculino;De 46 a 60 años;II Antofagasta;Activo;Debito;59;49327
07-09-2020;9;2020;Lunes;ab1d3083;55;96605;16;10;10;10;10;Local 55;Locales;08-09-2020;Femenino;De 26 a 35 años;Región Metropolitana;Semi Activo;Debito;17483;49492
16-09-2020;9;2020;Miercoles;ab1d3084;405;24897;3;7;8;10;7;Local 405;Locales;17-09-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Debito;7887;49655
01-09-2020;9;2020;Martes;ab1d3085;565;36177;4;9;;;;Compra Onl;Compra Online Despac;11-09-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Debito;1;49698
01-09-2020;9;2020;Martes;ab1d3086;388;20214;1;10;10;;10;ret_Local;Retiro en Tienda;07-09-2020;Femenino;De 46 a 60 años;XVI �uble;Activo;Debito;2281;49817
05-09-2020;9;2020;Sabado;ab1d3087;421;786;2;10;9;10;9;Local 421;Locales;07-09-2020;Masculino;De 46 a 60 años;VIII Biobío;Activo;Efectivo;15890;49930
02-09-2020;9;2020;Miercoles;ab1d3088;565;41572;4;10;;;;Compra Onl;Compra Online Despac;14-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Semi Activo;Credito;1;49995
01-09-2020;9;2020;Martes;ab1d3089;224;12399;1;10;10;10;10;Local 224;Locales;07-09-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Credito;7664;50010
16-09-2020;9;2020;Miercoles;ab1d3090;32;10958;2;10;10;10;10;Local 32;Locales;22-09-2020;Masculino;De 60 años y más;IV Coquimbo;Activo;Debito;7878;50238
15-09-2020;9;2020;Martes;ab1d3091;759;2549;1;10;10;10;10;Local 759;Locales;16-09-2020;Masculino;De 46 a 60 años;IX La Araucanía;Activo;Efectivo;6775;50283
04-09-2020;9;2020;Viernes;ab1d3092;291;51698;2;5;4;10;4;Local 291;Locales;10-09-2020;Femenino;De 46 a 60 años;VIII Biobío;Activo;Debito;973;50318
03-09-2020;9;2020;jueves;ab1d3093;565;38226;6;4;;;;Compra Onl;Compra Online Despac;17-09-2020;Femenino;De 26 a 35 años;Región Metropolitana;Semi Activo;Debito;1;50396
11-09-2020;9;2020;Viernes;ab1d3094;471;120623;26;10;10;10;10;Local 471;Locales;14-09-2020;Masculino;De 18 a 25 años;IX La Araucanía;Activo;Debito;4667;50530
12-09-2020;9;2020;Sabado;ab1d3095;192;15971;1;10;10;10;8;Local 192;Locales;13-09-2020;Femenino;De 60 años y más;Región Metropolitana;Activo;Debito;6425;50578
21-09-2020;9;2020;Lunes;ab1d3096;247;34000;3;10;10;10;10;Local 247;Locales;28-09-2020;Femenino;De 36 a 45 años;XIV Los Ríos;Activo;Debito;12472;50597
23-09-2020;9;2020;Miercoles;ab1d3097;136;17878;2;8;6;10;10;Local 136;Locales;24-09-2020;Masculino;De 26 a 35 años;Región Metropolitana;Activo;Debito;13208;50909
11-09-2020;9;2020;Viernes;ab1d3098;406;33472;3;10;10;10;10;Local 406;Locales;12-09-2020;Masculino;De 46 a 60 años;IX La Araucanía;Activo;Credito;9871;50911
02-09-2020;9;2020;Miercoles;ab1d3099;54;5704;2;10;10;10;10;Local 54;Locales;03-09-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Debito;14213;51382
26-09-2020;9;2020;Sabado;ab1d3100;265;42150;2;9;10;10;10;Local 265;Locales;27-09-2020;Femenino;De 18 a 25 años;Región Metropolitana;Semi Activo;Debito;22311;51447
13-09-2020;9;2020;Domingo;ab1d3101;488;19863;5;10;10;10;10;Local 488;Locales;19-09-2020;Femenino;De 36 a 45 años;V Valparaíso;Activo;Debito;19327;51505
24-09-2020;9;2020;jueves;ab1d3102;565;59718;13;10;;;;Compra Onl;Compra Online Despac;02-10-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Debito;1;51518
20-09-2020;9;2020;Domingo;ab1d3103;195;11736;6;10;10;10;10;Local 195;Locales;22-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;16419;51546
